               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.085353,0.077019,0.012489,0.59691,0.54152,0.5429,0.24512,0.05387,0.046272,0.014584,0.070147,0.003317,0.003317
1,0.065182,0.070508,0.0040325,0.75742,0.65433,0.72741,0.34932,0.051107,0.046092,0.0072497,0.040125,0.0066284,0.0066284
2,0.059444,0.068332,0.002703,0.78992,0.71699,0.78099,0.39341,0.04549,0.046472,0.0044375,0.010081,0.0099178,0.0099178
3,0.053138,0.067824,0.0021231,0.89478,0.76926,0.85343,0.48453,0.038854,0.043544,0.003826,0.009901,0.009901,0.009901
4,0.04937,0.066415,0.0017344,0.9065,0.76354,0.85017,0.50551,0.037141,0.043322,0.0045079,0.009901,0.009901,0.009901
5,0.046647,0.065139,0.0014167,0.88284,0.77185,0.85701,0.51432,0.037098,0.043209,0.0035575,0.009868,0.009868,0.009868
6,0.044725,0.063876,0.0012345,0.91987,0.7984,0.87579,0.53559,0.035621,0.042375,0.002986,0.009835,0.009835,0.009835
7,0.044258,0.06289,0.0011667,0.89809,0.79328,0.86804,0.53286,0.034983,0.041973,0.0034402,0.009802,0.009802,0.009802
8,0.043557,0.06281,0.0010274,0.90917,0.78696,0.8629,0.53324,0.035215,0.041838,0.0035853,0.009769,0.009769,0.009769
9,0.042628,0.062264,0.00092125,0.91776,0.79386,0.87688,0.53671,0.035339,0.042123,0.0029413,0.009736,0.009736,0.009736
10,0.04253,0.061847,0.00091096,0.91757,0.80909,0.88912,0.55192,0.034133,0.04131,0.002916,0.009703,0.009703,0.009703
11,0.041907,0.061272,0.00082583,0.92026,0.79632,0.88131,0.54985,0.034427,0.041495,0.0026461,0.00967,0.00967,0.00967
12,0.041664,0.062439,0.00082475,0.9121,0.80868,0.88498,0.55458,0.034335,0.041722,0.0027442,0.009637,0.009637,0.009637
13,0.041477,0.061566,0.00077552,0.91145,0.80584,0.88372,0.55159,0.034527,0.041695,0.0027831,0.009604,0.009604,0.009604
14,0.041524,0.062744,0.00077821,0.92302,0.79544,0.87282,0.55166,0.03442,0.041882,0.0030029,0.009571,0.009571,0.009571
15,0.041094,0.061708,0.00077313,0.91751,0.81147,0.88756,0.55773,0.034039,0.041312,0.0029315,0.009538,0.009538,0.009538
16,0.041437,0.062716,0.00075329,0.91948,0.80423,0.88748,0.56023,0.034001,0.041188,0.0029645,0.009505,0.009505,0.009505
17,0.040856,0.061876,0.0007249,0.92332,0.80115,0.88473,0.56252,0.033905,0.041346,0.003031,0.009472,0.009472,0.009472
18,0.040884,0.061459,0.00069121,0.92011,0.81313,0.88831,0.56074,0.033969,0.041546,0.0026003,0.009439,0.009439,0.009439
19,0.040382,0.060711,0.00064409,0.92159,0.81211,0.88327,0.56452,0.033719,0.041172,0.0028548,0.009406,0.009406,0.009406
20,0.040288,0.0612,0.00061966,0.92386,0.81925,0.89276,0.56659,0.033314,0.041129,0.0027105,0.009373,0.009373,0.009373
21,0.040111,0.060027,0.00059915,0.92658,0.81745,0.88744,0.56765,0.033715,0.040995,0.002728,0.00934,0.00934,0.00934
22,0.040164,0.060544,0.00058717,0.92809,0.80826,0.89018,0.56663,0.033511,0.040843,0.0028487,0.009307,0.009307,0.009307
23,0.039947,0.06045,0.00053393,0.93328,0.81154,0.88861,0.57023,0.033524,0.041267,0.0023176,0.009274,0.009274,0.009274
24,0.039976,0.060986,0.00058048,0.92363,0.81788,0.89146,0.56874,0.033397,0.041397,0.0026986,0.009241,0.009241,0.009241
25,0.039947,0.061237,0.00062422,0.92417,0.81314,0.89231,0.57462,0.033108,0.040953,0.0033297,0.009208,0.009208,0.009208
26,0.039768,0.059923,0.00055455,0.92728,0.80869,0.88877,0.57167,0.033319,0.040943,0.002818,0.009175,0.009175,0.009175
27,0.039672,0.060497,0.00055206,0.9245,0.81268,0.89121,0.57231,0.033337,0.04128,0.0025478,0.009142,0.009142,0.009142
28,0.03978,0.060201,0.00054542,0.91777,0.81984,0.89294,0.57162,0.033272,0.041019,0.0024152,0.009109,0.009109,0.009109
29,0.039536,0.060076,0.00054198,0.92114,0.82312,0.89516,0.57107,0.033383,0.040568,0.0029575,0.009076,0.009076,0.009076
30,0.03946,0.059915,0.00051129,0.92916,0.81712,0.89456,0.57269,0.033299,0.040942,0.0026329,0.009043,0.009043,0.009043
31,0.039449,0.059768,0.00049774,0.93153,0.81404,0.89075,0.57226,0.033299,0.040759,0.0027245,0.00901,0.00901,0.00901
32,0.03915,0.059629,0.00051771,0.93508,0.81113,0.89085,0.5716,0.033116,0.040998,0.002502,0.008977,0.008977,0.008977
33,0.039414,0.060351,0.00056925,0.91681,0.81353,0.88824,0.57179,0.033266,0.040939,0.0027324,0.008944,0.008944,0.008944
34,0.039258,0.059797,0.00054128,0.92732,0.817,0.89543,0.57782,0.032873,0.040331,0.0029155,0.008911,0.008911,0.008911
35,0.0392,0.059567,0.00052833,0.92604,0.81832,0.89233,0.57342,0.033225,0.041288,0.0028698,0.008878,0.008878,0.008878
36,0.039091,0.060131,0.00045883,0.91933,0.82699,0.89645,0.57638,0.032879,0.040611,0.0030924,0.008845,0.008845,0.008845
37,0.039258,0.059595,0.00045773,0.92548,0.81756,0.8978,0.58061,0.032789,0.04094,0.0026928,0.008812,0.008812,0.008812
38,0.038864,0.059557,0.00045903,0.92101,0.82131,0.89262,0.57438,0.03307,0.041068,0.0028979,0.008779,0.008779,0.008779
39,0.038987,0.059859,0.0004567,0.93238,0.82188,0.89758,0.57773,0.032941,0.040763,0.003085,0.008746,0.008746,0.008746
40,0.038704,0.059023,0.00046619,0.92159,0.81912,0.89304,0.57328,0.033081,0.040975,0.0028899,0.008713,0.008713,0.008713
41,0.038811,0.058592,0.00045046,0.92723,0.82043,0.89382,0.57541,0.033031,0.041256,0.0030673,0.00868,0.00868,0.00868
42,0.038945,0.059014,0.00045165,0.92374,0.82364,0.89697,0.57788,0.032917,0.040488,0.002411,0.008647,0.008647,0.008647
43,0.039014,0.061089,0.00044078,0.92227,0.82737,0.89655,0.57716,0.033032,0.040808,0.0031489,0.008614,0.008614,0.008614
44,0.038689,0.058367,0.00053063,0.92338,0.82369,0.89745,0.57944,0.032917,0.040645,0.0027827,0.008581,0.008581,0.008581
45,0.038544,0.058938,0.00038938,0.92423,0.82808,0.89579,0.58285,0.032702,0.0408,0.0028436,0.008548,0.008548,0.008548
46,0.038575,0.058724,0.00044122,0.93202,0.81654,0.89367,0.57967,0.032974,0.04066,0.002653,0.008515,0.008515,0.008515
47,0.038655,0.059419,0.00043386,0.92277,0.82839,0.89843,0.58062,0.032757,0.040724,0.0027557,0.008482,0.008482,0.008482
48,0.038319,0.059711,0.00038259,0.9278,0.82883,0.89666,0.5781,0.032761,0.040753,0.0026348,0.008449,0.008449,0.008449
49,0.038464,0.058646,0.00045501,0.92412,0.82725,0.90054,0.58263,0.032675,0.041088,0.0025138,0.008416,0.008416,0.008416
50,0.038255,0.058442,0.00040404,0.92612,0.83193,0.89847,0.5825,0.032909,0.040964,0.0026804,0.008383,0.008383,0.008383
51,0.038296,0.058406,0.00042365,0.92868,0.82174,0.89834,0.58208,0.032592,0.040569,0.0027497,0.00835,0.00835,0.00835
52,0.038552,0.06011,0.00042338,0.92636,0.82748,0.89999,0.58405,0.032606,0.040736,0.0028863,0.008317,0.008317,0.008317
53,0.038514,0.059545,0.00040176,0.91966,0.83571,0.898,0.58099,0.032509,0.040779,0.0024647,0.008284,0.008284,0.008284
54,0.038462,0.059922,0.00040136,0.92726,0.82208,0.89596,0.58136,0.032702,0.040903,0.0027297,0.008251,0.008251,0.008251
55,0.038503,0.059242,0.00039059,0.92465,0.83279,0.90096,0.5832,0.032571,0.040607,0.0024754,0.008218,0.008218,0.008218
56,0.038169,0.058942,0.00043214,0.92586,0.82562,0.89357,0.58207,0.032653,0.040886,0.0027843,0.008185,0.008185,0.008185
57,0.038228,0.058961,0.00037721,0.93143,0.82656,0.89983,0.58476,0.032587,0.040508,0.0026225,0.008152,0.008152,0.008152
58,0.0381,0.059024,0.00042966,0.93137,0.82244,0.89971,0.58316,0.032631,0.040836,0.0029694,0.008119,0.008119,0.008119
59,0.038112,0.058899,0.00040084,0.93357,0.82392,0.89974,0.58304,0.0325,0.040886,0.0025715,0.008086,0.008086,0.008086
60,0.037955,0.057871,0.00040277,0.9302,0.82168,0.89651,0.58167,0.032499,0.040568,0.0028582,0.008053,0.008053,0.008053
61,0.038108,0.058769,0.00037459,0.92751,0.82304,0.89768,0.58395,0.032669,0.040754,0.0029019,0.00802,0.00802,0.00802
62,0.038013,0.059006,0.00042092,0.93425,0.82162,0.89775,0.58336,0.032661,0.041052,0.0027923,0.007987,0.007987,0.007987
63,0.03778,0.058154,0.00036214,0.92944,0.82438,0.90176,0.58542,0.032513,0.040642,0.0027403,0.007954,0.007954,0.007954
64,0.037603,0.057417,0.00039422,0.9339,0.8217,0.89873,0.58449,0.03262,0.040872,0.0028529,0.007921,0.007921,0.007921
65,0.038008,0.058774,0.00041099,0.92599,0.82884,0.89984,0.584,0.032604,0.040866,0.002757,0.007888,0.007888,0.007888
66,0.037741,0.057559,0.00040053,0.92968,0.82688,0.90071,0.58584,0.032614,0.040486,0.0026875,0.007855,0.007855,0.007855
67,0.037821,0.058602,0.000369,0.92583,0.83127,0.89872,0.58345,0.032668,0.040604,0.0028578,0.007822,0.007822,0.007822
68,0.037888,0.058566,0.00036537,0.9346,0.82373,0.89992,0.58435,0.032682,0.041034,0.0025726,0.007789,0.007789,0.007789
69,0.037614,0.057685,0.00041834,0.92679,0.82757,0.90184,0.58645,0.032384,0.040628,0.0026645,0.007756,0.007756,0.007756
70,0.037753,0.058111,0.00040096,0.93065,0.82237,0.89798,0.58481,0.032535,0.0409,0.0028383,0.007723,0.007723,0.007723
71,0.037681,0.057752,0.00037187,0.92471,0.83238,0.8995,0.58518,0.03242,0.040757,0.0025552,0.00769,0.00769,0.00769
72,0.037714,0.057297,0.00037463,0.92513,0.8305,0.90031,0.58532,0.032478,0.040942,0.0025195,0.007657,0.007657,0.007657
73,0.037522,0.058558,0.0003562,0.93008,0.829,0.89861,0.58507,0.032553,0.040749,0.0028276,0.007624,0.007624,0.007624
74,0.037371,0.057643,0.0003669,0.93577,0.82451,0.90001,0.58585,0.032609,0.040721,0.0028758,0.007591,0.007591,0.007591
75,0.037503,0.057409,0.00036282,0.93491,0.82235,0.89694,0.58565,0.032562,0.041081,0.0028265,0.007558,0.007558,0.007558
76,0.037626,0.058289,0.00039622,0.9351,0.82241,0.89688,0.58437,0.032633,0.041097,0.0026997,0.007525,0.007525,0.007525
77,0.037484,0.057294,0.00034935,0.93055,0.83502,0.90173,0.58628,0.03248,0.040939,0.0025511,0.007492,0.007492,0.007492
78,0.037529,0.05787,0.00034199,0.92958,0.83707,0.90328,0.58738,0.032471,0.040678,0.0025303,0.007459,0.007459,0.007459
79,0.037535,0.058214,0.00035381,0.93464,0.82966,0.90177,0.58862,0.032496,0.040843,0.0025436,0.007426,0.007426,0.007426
80,0.037326,0.057554,0.00039655,0.92952,0.82981,0.89955,0.58729,0.032495,0.041067,0.0027005,0.007393,0.007393,0.007393
81,0.037332,0.057697,0.00037057,0.93477,0.83046,0.9006,0.58827,0.032447,0.040895,0.0024926,0.00736,0.00736,0.00736
82,0.037372,0.057303,0.00032067,0.92107,0.84126,0.90079,0.58777,0.03245,0.04094,0.0026463,0.007327,0.007327,0.007327
83,0.037232,0.057331,0.00034016,0.92779,0.83302,0.90054,0.58745,0.032445,0.041061,0.0026921,0.007294,0.007294,0.007294
84,0.037595,0.058091,0.00034057,0.92953,0.83398,0.90038,0.58802,0.03241,0.041133,0.0027508,0.007261,0.007261,0.007261
85,0.037079,0.057076,0.00037831,0.92826,0.83674,0.90321,0.58937,0.03235,0.040889,0.0027155,0.007228,0.007228,0.007228
86,0.03722,0.05754,0.0003534,0.92557,0.83551,0.90331,0.58743,0.032345,0.040764,0.0027774,0.007195,0.007195,0.007195
87,0.037175,0.057297,0.00036816,0.92925,0.83631,0.9024,0.58802,0.032338,0.0406,0.0027458,0.007162,0.007162,0.007162
88,0.037112,0.057266,0.00035477,0.93547,0.83256,0.90233,0.58918,0.03236,0.040781,0.0027803,0.007129,0.007129,0.007129
89,0.03725,0.057654,0.00036722,0.92725,0.84077,0.90184,0.58844,0.032305,0.040851,0.0027912,0.007096,0.007096,0.007096
90,0.037009,0.057685,0.00033125,0.9283,0.83656,0.90267,0.58973,0.032328,0.041008,0.0026737,0.007063,0.007063,0.007063
91,0.036975,0.057695,0.00034446,0.93367,0.83296,0.90371,0.58994,0.032413,0.041048,0.0025524,0.00703,0.00703,0.00703
92,0.037049,0.057574,0.00035701,0.93086,0.83561,0.9031,0.58971,0.032422,0.040839,0.002664,0.006997,0.006997,0.006997
93,0.037232,0.058586,0.00031417,0.93182,0.83556,0.90245,0.59114,0.032408,0.040812,0.0027802,0.006964,0.006964,0.006964
94,0.036976,0.05769,0.00034048,0.93002,0.83591,0.90259,0.58903,0.032415,0.040897,0.0027347,0.006931,0.006931,0.006931
95,0.036865,0.057605,0.00036416,0.92782,0.84028,0.90399,0.59016,0.032391,0.040829,0.0025812,0.006898,0.006898,0.006898
96,0.036946,0.057429,0.0003411,0.93241,0.83928,0.90432,0.59025,0.032355,0.040859,0.0025566,0.006865,0.006865,0.006865
97,0.036915,0.056649,0.00032581,0.93094,0.83646,0.90336,0.58994,0.032371,0.041054,0.0027242,0.006832,0.006832,0.006832
98,0.036993,0.057687,0.00030794,0.93322,0.83848,0.90412,0.58967,0.032424,0.041064,0.0026686,0.006799,0.006799,0.006799
99,0.036916,0.057362,0.00033398,0.93663,0.83466,0.90396,0.58968,0.032398,0.041108,0.0026203,0.006766,0.006766,0.006766
100,0.036846,0.056699,0.00036473,0.93227,0.83595,0.90321,0.58923,0.032448,0.041139,0.002653,0.006733,0.006733,0.006733